uid,stime,etime,lat,lng,stated,grid
912ba5da04c03e75f2137f85b1a76e24,2016-09-05 08:22:25,2016-09-05 09:16:48,26.6392675641,106.7896365547,1,3708.0
912ba5da04c03e75f2137f85b1a76e24,2016-09-05 09:59:08,2016-09-05 15:28:46,26.6397642448,106.79645431959999,1,3709.0
912ba5da04c03e75f2137f85b1a76e24,2016-09-05 16:14:48,2016-09-05 16:30:48,26.6392675641,106.7896365547,1,3708.0
912ba5da04c03e75f2137f85b1a76e24,2016-09-05 17:12:20,2016-09-05 23:59:59,26.6397642448,106.79645431959999,1,3709.0
912ba5da04c03e75f2137f85b1a76e24,2016-09-06 00:00:00,2016-09-06 12:27:57,26.6397642448,106.79645431959999,1,3709.0
912ba5da04c03e75f2137f85b1a76e24,2016-09-06 13:14:19,2016-09-06 13:30:19,26.6425917391,106.7891117574,1,3707.0
912ba5da04c03e75f2137f85b1a76e24,2016-09-06 14:16:22,2016-09-06 17:03:37,26.6397642448,106.79645431959999,1,3709.0
912ba5da04c03e75f2137f85b1a76e24,2016-09-06 17:57:39,2016-09-06 18:51:41,26.640929651599997,106.78937415600001,1,3707.0
912ba5da04c03e75f2137f85b1a76e24,2016-09-06 19:45:43,2016-09-06 23:59:59,26.6397642448,106.79645431959999,1,3709.0
912ba5da04c03e75f2137f85b1a76e24,2016-09-07 00:00:00,2016-09-07 00:11:31,26.6397642448,106.79645431959999,1,3709.0
912ba5da04c03e75f2137f85b1a76e24,2016-09-07 00:57:34,2016-09-07 01:13:34,26.6425917391,106.7891117574,1,3707.0
912ba5da04c03e75f2137f85b1a76e24,2016-09-07 01:59:35,2016-09-07 03:47:39,26.6397642448,106.79645431959999,1,3709.0
912ba5da04c03e75f2137f85b1a76e24,2016-09-07 04:33:42,2016-09-07 04:49:42,26.6425917391,106.7891117574,1,3707.0
912ba5da04c03e75f2137f85b1a76e24,2016-09-07 05:35:44,2016-09-07 07:23:48,26.6397642448,106.79645431959999,1,3709.0
912ba5da04c03e75f2137f85b1a76e24,2016-09-07 08:17:51,2016-09-07 09:11:54,26.6425917391,106.7891117574,1,3707.0
912ba5da04c03e75f2137f85b1a76e24,2016-09-07 10:05:56,2016-09-07 12:25:15,26.6397642448,106.79645431959999,1,3709.0
912ba5da04c03e75f2137f85b1a76e24,2016-09-07 13:19:17,2016-09-07 15:07:21,26.6425917391,106.7891117574,1,3707.0
912ba5da04c03e75f2137f85b1a76e24,2016-09-07 15:13:29,2016-09-07 23:59:59,26.6397642448,106.79645431959999,1,3709.0
912ba5da04c03e75f2137f85b1a76e24,2016-09-08 00:00:00,2016-09-08 05:46:39,26.6397642448,106.79645431959999,1,3709.0
912ba5da04c03e75f2137f85b1a76e24,2016-09-08 06:32:41,2016-09-08 06:48:41,26.6392675641,106.7896365547,1,3708.0
912ba5da04c03e75f2137f85b1a76e24,2016-09-08 07:34:43,2016-09-08 09:12:50,26.6397642448,106.79645431959999,1,3709.0
912ba5da04c03e75f2137f85b1a76e24,2016-09-08 10:06:51,2016-09-08 11:00:53,26.6392675641,106.7896365547,1,3708.0
912ba5da04c03e75f2137f85b1a76e24,2016-09-08 11:54:55,2016-09-08 11:54:55,26.6397642448,106.79645431959999,0,3709.0
912ba5da04c03e75f2137f85b1a76e24,2016-09-08 12:36:29,2016-09-08 12:36:29,26.6392675641,106.7896365547,0,3708.0
912ba5da04c03e75f2137f85b1a76e24,2016-09-08 13:30:52,2016-09-08 13:30:52,26.6397642448,106.79645431959999,0,3709.0
912ba5da04c03e75f2137f85b1a76e24,2016-09-08 14:24:54,2016-09-08 14:24:54,26.6392675641,106.7896365547,0,3708.0
912ba5da04c03e75f2137f85b1a76e24,2016-09-08 15:18:56,2016-09-08 17:07:00,26.6397642448,106.79645431959999,1,3709.0
912ba5da04c03e75f2137f85b1a76e24,2016-09-08 18:01:03,2016-09-08 18:01:03,26.6392675641,106.7896365547,0,3708.0
912ba5da04c03e75f2137f85b1a76e24,2016-09-08 18:39:24,2016-09-08 18:39:24,26.6397642448,106.79645431959999,0,3709.0
912ba5da04c03e75f2137f85b1a76e24,2016-09-08 18:40:59,2016-09-08 18:40:59,26.6397642448,106.79645431959999,0,3709.0
912ba5da04c03e75f2137f85b1a76e24,2016-09-08 19:27:01,2016-09-08 19:43:01,26.6392675641,106.7896365547,1,3708.0
912ba5da04c03e75f2137f85b1a76e24,2016-09-08 20:29:04,2016-09-08 23:59:59,26.6397642448,106.79645431959999,1,3709.0
912ba5da04c03e75f2137f85b1a76e24,2016-09-09 00:00:00,2016-09-09 07:05:40,26.6397642448,106.79645431959999,1,3709.0
912ba5da04c03e75f2137f85b1a76e24,2016-09-09 08:47:50,2016-09-09 09:03:50,26.6425917391,106.7891117574,1,3707.0
